price_total,price_unit,area,ratio,age,Floor,Height,room
2395.92,40.2,59.6,53.71,1,14,22,3
3306.81,41.7,79.3,50.78,2,7,22,3
2946.66,40.2,73.3,50.78,2,3,22,3
3413.232,43.2,79.01,50.78,2,9,22,3
3322.756,43.6,76.21,53.23,1,22,22,3
2800.06,38.2,73.3,50.78,1,2,22,3
3298.88,41.6,79.3,50.78,1,11,22,3
3417.83,43.1,79.3,50.78,2,12,22,3
3655.73,46.1,79.3,50.78,2,15,22,3
3774.68,47.6,79.3,50.78,2,18,22,3
3687.45,46.5,79.3,50.78,2,14,22,3
3294.717,41.7,79.01,50.78,2,10,22,3
3027.29,41.3,73.3,50.78,2,4,22,3
3237.072,40.8,79.34,50.83,1,3,22,3
3546.498,44.7,79.34,50.83,2,9,22,3
2750.25,37.5,73.34,50.83,1,2,22,3
3356.082,42.3,79.34,50.83,1,11,22,3
3911.462,49.3,79.34,50.83,2,17,22,3
3395.752,42.8,79.34,50.83,1,13,22,3
3879.726,48.9,79.34,50.83,2,19,22,3
3633.772,45.8,79.34,50.83,2,12,22,3
3570.3,45,79.34,50.83,1,18,22,3
3808.32,48,79.34,50.83,2,14,22,3
3109.616,42.4,73.34,50.83,2,4,22,3
900.562,24.7,36.46,54.31,29,3,13,3
1547.968,30.4,50.92,65.19,29,8,13,3
1170.366,32.1,36.46,54.31,30,8,13,3
1778.912,36.8,48.34,56.19,31,10,13,3
1097.468,30.2,36.34,66.49,31,3,13,3
1379.7,31.5,43.8,62.02,30,7,13,4
719.031,26.7,26.93,53.82,31,8,13,3
304.648,11.3,26.96,81.13,40,6,12,2
846.6,20.4,41.5,73.42,37,3,12,3
1089.423,25.7,42.39,74.31,33,6,12,2
848.205,18.3,46.35,80.46,37,7,12,4
1500.606,35.4,42.39,74.31,37,8,12,3
628.84,15.8,39.8,82.92,38,8,12,4
1171.428,28.2,41.54,46.82,2,7,15,3
839.664,25.2,33.32,46.83,3,33,15,2
926.296,27.8,33.32,46.83,3,3,15,3
1149.252,31.8,36.14,46.23,5,9,15,2
1145.638,31.7,36.14,46.23,5,9,15,2
1130.386,30.2,37.43,46.83,5,2,15,2
1100.442,29.4,37.43,46.83,2,2,15,3
1348.24,30.4,44.35,46.24,6,2,15,2
1126.49,25.4,44.35,46.23,2,2,15,3
1100.088,29.7,37.04,46.63,4,8,15,3
1100.088,29.7,37.04,46.63,2,8,15,3
1268.514,35.1,36.14,46.23,5,8,15,2
896.84,28,32.03,46.23,3,6,15,2
939.64,26,36.14,46.23,2,11,15,3
1006.25,25,40.25,46.23,2,13,15,3
1187.904,26.9,44.16,47.05,3,12,15,3
953.925,23.7,40.25,46.23,3,12,15,3
1794.792,33.2,54.06,47.07,3,15,15,2
1078.7,26.8,40.25,46.23,2,14,15,3
941.85,23.4,40.25,46.23,2,10,15,3
1179.075,23.7,49.75,46.83,2,4,15,3
832.75,25,33.31,71.81,28,15,17,3
654.68,26,25.18,67.56,28,17,17,2
735.335,20.5,35.87,66.69,27,9,17,3
681.53,19,35.87,66.69,26,9,17,3
760.104,21.6,35.19,64.82,26,4,17,3
516.49,13.7,37.7,66.29,24,3,17,3
889.746,22.1,40.26,62.09,27,5,17,3
571.692,14.2,40.26,62.09,24,6,17,3
949.396,28.7,33.08,67.32,28,5,17,3
750.176,11.9,63.04,62.64,25,8,14,5
999.504,17.6,56.79,60.58,26,8,14,3
496.656,14.4,34.49,71.65,26,13,14,3
496.656,14.4,34.49,71.65,24,13,14,3
835.545,26.5,31.53,69.72,29,14,14,3
1134.444,24.9,45.56,71.95,29,9,14,3
650.808,27.6,23.58,71.28,29,14,14,2
598.932,25.4,23.58,71.28,27,14,14,2
650.286,27.3,23.82,70.56,29,4,14,2
951.972,19.6,48.57,62.25,28,5,14,4
1201.77,27,44.51,58.18,29,11,14,3
1563.1,19.6,79.75,60.18,15,9,15,4
1591.131,17.9,88.89,59.78,15,11,15,4
1671.252,24.2,69.06,58.04,16,13,15,4
2182.368,25.4,85.92,59.8,18,12,15,4
1927.464,26.4,73.01,58.49,17,12,15,4
